urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370265-post1__2	سلامتی کونسل کی القاعدہ اور طالبان سینکشنز کمیٹی نے جن پاکستانیوں کے نام دہشت گردوں کی فہرست میں شامل کرنے کی منظوری دی ہے ان میں جماعت الدعوة کے امیرحافظ محمد سعید ، کالعدم تنظیم لشکر طیبہ کے آپریشنز چیف ذکی رحمن لکھوی، شعبہ مالیات کے سربراہ حاجی محمد اشرف شامل ہیں۔	The Taliban and Al Qaeda sanctions committee of the United Nations gave the approval of including the names of the following individuals into the Terrorists list, they are Hafiz Muhammad Saeed of Jameetae Dawa, The operations Chief of Lashkarae Tayyaba Hafeez Zaki ur Rehman and leader of Shoiaba Al Maliyat Haji Muhammad Ashraf.	The Pakistanis whose names were included in the terrorist list by the Al-Qaidah and Taliban Sanctions Committee of the Security Council included Jama'athud Da'ah chief, Hafiz Mohammad Saeed, practically non-existent organisation Lashkar-e-Taiba Operation Chief, Zakiur Rahman Lakhwi and Financial Chief Haji Mohammad Ashraf.	The names of Hafiz Mohammad saeed (the chief jamat-ul-dawa),Rehman Lakhvi (Lashkar-i-taiba's chief of Operations), and haji Mohammad Ashraf (Lashar-i-taiba's Head of finance) have been included in the list of terrorists. This list approved by the Security Council's committee on Alqaida and Taliban.	Security council of Alkaida and Taliban committee have given green signal to list these Pakistanis in the list of terrorists in this list jamaate Alkaidas Amir hafiz mohammed sayeed, adham tanzim Lashkare Tayibas chief Zaki Rhman Laqvi, Shohaib waliyats master Haji mohammed Ashraf are listed.	-673.776	-555.597	-466.821	-680.62	-676.682	-556.274	-465.667	-679.939
urd-wl-86-174276-11370265-post1__3	اس کے علاوہ ایک سعودی باشندے محموداحمد بازیک کا نام بھی دہشت گردوں کی فہرست میں شامل ہے۔	other than these a Saudi individual Mehmood Ahmed Bazeek has also been included in the Terrorist list.	Apart from this, a saudi national, Mahmood Ahmad Bazek was also included in the list of terrorists.	Beside these, a saudi citizen Mehmood Ahmed's name is also part of the this list of terrorists.	Apart from this a saudi civilian mahmood ahmed basik name is also list in terrorists list.	-128.844	-92.9214	-131.124	-98.7782	-128.733	-90.8555	-130.008	-99.9064
urd-wl-86-174276-11370265-post1__4	ان تنظیموں میں جماعت الدعوة ، پاسبان کشمیر،الرشید ٹرسٹ اورالاختر ٹرسٹ انٹرنیشنل شامل ہیں۔	Among these groups Jametae Dawa, Pasbane Kashmir, Al Rasheed Trust and Al Akhtar Trust International are included.	Among the organisations were Jama'athud Da'wah, Pasban Kashmir, ArRasheed trust, and Al-Akhtar trust International.	Jamat-ul-dawa, passban-i-kashmir and Alrashid trusts are included in these organizations.	In these organizations jamate Alqaida, Pashebaan Kashmir, Al Rasheed trust International are included.	-247.697	-234.816	-178.692	-231.769	-247.597	-235.117	-178.853	-232.118
urd-wl-86-174276-11370265-post1__5	رکن ممالک فوری طور پران شخصیات اور تنظیموں کے تمام اثاثے منجمد کردیں گے اور سفر پہ پابندی ہوگی اور انہیں گرفتار کرلیا جائے گا۔	The allied nations will instantly cease their accounts and funds, and have sanctions on travel and they will be arrested.	The member countries will immediately freeze all the assets of these individuals and organisations, they will be restricted from traveling and will be under arrest.	The member countries will freeze the assets of these personalities and organizations.These persons will not allow to travel and they will be arrested if travel led.	By law all these organizations and people properties has been undertaken and they were banned from traveling and they have been arrested	-61.6397	-99.1253	-109.945	-131.152	-62.2525	-100.425	-106.042	-130.874
urd-wl-86-174276-11370265-post1__6	انہیں مقدمات کا سامنا ہوگا۔	They will face a formal trial.	They will have to face cases.	They have to face the cases.	They have to face the court judgment	-16.5651	-14.0419	-13.7719	-16.1661	-16.2253	-12.3957	-12.9812	-15.5474
urd-wl-86-174276-11370265-post1__7	کیا یہ پابندیاں بھارتی پروپیگنڈے کے زیر اثر تو نہیں؟	Are these sanctions under the influence of Indian propaganda?	These regulations are not as a result of Indian influence, are they?	Are not these sanctions made under the influence of Indian propaganda?	were this restrictions part of Indian propoganda?	-63.6847	-29.5749	-69.7995	-63.0012	-59.9297	-27.8513	-68.6157	-61.9331
urd-wl-86-174276-11370265-post1__8	بھارت بغیر کسی ثبوت کے ممبئی حملوں کا الزام ان تنظیموں پر کیوں عائد کررہا ہے؟	Why India Claims about this agencies for the Mumbai Blast without any proof?	Why is India accusing these organizations for being responsible for the Mumbai Attacks without any proof?	Why is India blaming these parties for the Bombay attacks without any proof?	Why is India without any evidence blaming these organizations for attacks on Mumbai?	-52.09	-94.0365	-50.9177	-116.458	-53.6096	-94.7746	-51.7359	-116.282
urd-wl-86-174276-11370265-post1__9	کیا بھارت میں دہشت گرد تنظیمیں موجود نہیں؟	Are the Terrorism Agencies are not in India?	Doesn't India have any local terrorist groups ?	Aren't there any terrorist groups in India?	Are there no terrorist organizations in India?	-60.673	-34.0257	-94.3396	-98.53	-60.9934	-34.2865	-95.2791	-95.1918
urd-wl-86-174276-11370265-post1__10	، کیا بھارت میں اقلیتوں پر ہونے والے مظالم سے عالمی ادارے واقف نہیں؟	Do the UNO, has the knowledge for the blasts occurs in India?	Aren't the world organizations aware of the persecution of minorities in India?	Are International groups not aware of the tortures being done on the minorities in India?	In India How minorities are targeted is the world not aware of it?	-79.2392	-142.169	-79.1295	-35.3825	-80.1582	-142.459	-80.7606	-37.2197
urd-wl-86-174276-11370265-post1__11	ہمیں اپنی رائے سے آگاہ کریں۔	Please provide us your suggestion.	Share your opinion with us.	Please inform us with your suggestions.	Tell us about your opinion	-15.1967	-15.0069	-14.7305	-15.1115	-16.9096	-14.5295	-15.8638	-14.333
urd-wl-86-174276-11370266-post1__1	عید کا تہوارخوشیوں اور مسرتوں کا ترجمان ہوتا ہے اور فرزندان توحید عیدالاضحی پر سنت ابراہیمی پر عمل کرتے ہوئے جانوروں کی قربانی کرتے ہیں۔	The festival of EID is the symbol for the happiest moment, and the followers of Allah sacrifes animals on EID Zuha for the remembrance of the sunnat carried out by Prophet Ibrahim.	Eid is a festival of happiness and serenity, and on Eid-ul-Azha, the muslims sacrifice a domestic animal, to commemorate the sacrifice of Prophet Ibrahim A.S. (Prophet Abraham)	Occasion of Eid represents happiness and joy and monotheists sacrifice animals following the tradition of Ibrahim.	Eid is the festival of joy and happiness and Muslims sacrifice animals on Eid ul Azha by following the Sunnah of Hazrat Ibrahim.	-279.898	-281.407	-129.892	-296.019	-280.013	-281.073	-130.416	-296.927
urd-wl-86-174276-11370266-post1__2	اس پر آشوب دور میں جب مہنگائی عروج پر ہو سیاسی حالات دگرگوں ہوں ، اس کے باوجودامیر اور غریب سب ہی اپنی استطاعت کے مطابق عید کی تیاری کرتے ہیں اور مختلف طریقوں سے اپنے احباب کو عید کی مبارکباد دیتے ہیں۔	Even what ever may be the situations like, Inflation, Policital, and environmental, the people either rich or poor perform EID based on their capacity, and convey wishes to their friends and relatives with thier ways.	In these troubled times, when the inflation is at its peak and the government is highly unstable; yet everybody, poor or rich, prepares for Eid and wishes loved ones a Happy Eid in their own different ways.	During this turbulent time when inflation is at its peak, political situation is not promising, even after this rich and poor prepare for Eid within their means and wish their relatives a happy Eid in different ways.	Despite of this hard time when inflation is at peak political situation is worst, rich and poor make preparations for Eid according to their capabilities and wishes Eid to their dear ones by different ways.	-225.835	-188.467	-180.506	-179.452	-225.601	-188.603	-179.404	-177.574
urd-wl-86-174276-11370266-post1__3	ہم بھی آپ کو بلاگ کے ذریعے ایک موقع فراہم کررہے ہیں کہ اپنے پیاروں کو مختصر پیغامات کی صورت میں عید کی مبارک باد دیں۔	We also provide a platform to you to convey your wishes to your loved ones in a simple way.	We are also giving you an oppurtunity to wish your loved ones eid greetings through our blog, in the form of short messages.	We are also providing you with the chance through this blog to wish your loved ones a happy Eid through short messages.	We also are providing you an opportunity through blog to wish Eid to your dear ones in form of short messages.	-43.8828	-176.454	-138.734	-140.364	-41.3282	-175.945	-137.455	-141.128
urd-wl-86-174276-11370266-post1__4	آپ عید کی مناسبت سے اشعار کے ذریعے بھی مبارکباد دے سکتے ہیں۔	For EID, you can convey in the form of Peom or Peotry also	You can also send eid wishes in the form of short eid poems.	You can also wish by writing verses with reference to Eid	You can wish Eid through appropriate poetry.	-145.398	-146.706	-72.0834	-98.0686	-145.222	-146.526	-73.1384	-97.931
urd-wl-86-174276-11370267-post5__1	-مرتضی جیلانی،	Murtaza Gillani	-Murtaza Gilani	Murtaza Jilani.	Murtaza Jilani	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828
urd-wl-86-174276-11370267-post5__2	کراچی، ہمارے حکمرانوں کو یہ بات سمجھ لینی چاہیئے کہ جن کے خلاف وہ آپریشن کر رہے ہیں وہی پاکستان کے قدردان ہیں جو ہر قسم کے ظلم سہہ رہے ہیں لیکن پاکستان سے محبت کرتے ہیں	Karachi: our ministers has to understand that, they operation what they are carrying are the people who respects us, after many damages also they love us.	from Karachi, says, Our leaders should understand that the people they are targetting by their military operations, are the ones who are actually the true patriots, who are enduring all types of cruelty but continue to love Pakistan more than their own lives.	Karachi, our leaders should understand this that people, they are doing the operation against, are the true valuers of Pakistan, who are tolerating all kinds of tortures but they love Pakistan.	Our rulers should understand that the people they are fighting against are our own. Who are taking upon every problem because they love Pakistan	-117.6	-190.233	-138.601	-70.9197	-117.107	-189.488	-139.872	-70.0972
